"home_id","away_id","result","date","year"
"1","14","A","14/08/93","1993-1994"
"2","33","H","14/08/93","1993-1994"
"13","5","A","14/08/93","1993-1994"
"23","36","H","14/08/93","1993-1994"
"24","21","D","14/08/93","1993-1994"
"28","42","A","14/08/93","1993-1994"
"31","20","A","14/08/93","1993-1994"
"35","41","H","14/08/93","1993-1994"
"37","17","A","14/08/93","1993-1994"
"45","47","A","14/08/93","1993-1994"
"29","25","A","15/08/93","1993-1994"
"42","1","A","16/08/93","1993-1994"
"17","24","H","17/08/93","1993-1994"
"20","37","H","17/08/93","1993-1994"
"21","45","H","17/08/93","1993-1994"
"47","13","D","17/08/93","1993-1994"
"5","29","A","18/08/93","1993-1994"
"14","28","H","18/08/93","1993-1994"
"25","35","H","18/08/93","1993-1994"
"33","23","A","18/08/93","1993-1994"
"36","2","D","18/08/93","1993-1994"
"41","31","A","18/08/93","1993-1994"
"5","31","H","21/08/93","1993-1994"
"14","45","D","21/08/93","1993-1994"
"17","35","H","21/08/93","1993-1994"
"20","13","H","21/08/93","1993-1994"
"21","29","A","21/08/93","1993-1994"
"25","28","D","21/08/93","1993-1994"
"33","37","H","21/08/93","1993-1994"
"36","1","A","21/08/93","1993-1994"
"42","24","H","21/08/93","1993-1994"
"47","2","D","21/08/93","1993-1994"
"41","23","A","22/08/93","1993-1994"
"2","25","A","23/08/93","1993-1994"
"1","21","H","24/08/93","1993-1994"
"24","5","A","24/08/93","1993-1994"
"31","14","D","24/08/93","1993-1994"
"35","47","H","24/08/93","1993-1994"
"13","33","H","25/08/93","1993-1994"
"23","42","A","25/08/93","1993-1994"
"28","17","H","25/08/93","1993-1994"
"29","20","H","25/08/93","1993-1994"
"37","41","H","25/08/93","1993-1994"
"45","36","H","25/08/93","1993-1994"
"24","14","D","27/08/93","1993-1994"
"1","17","H","28/08/93","1993-1994"
"2","42","H","28/08/93","1993-1994"
"13","36","D","28/08/93","1993-1994"
"23","21","H","28/08/93","1993-1994"
"29","41","D","28/08/93","1993-1994"
"31","47","D","28/08/93","1993-1994"
"35","20","D","28/08/93","1993-1994"
"37","25","A","28/08/93","1993-1994"
"45","33","A","28/08/93","1993-1994"
"28","5","D","29/08/93","1993-1994"
"21","31","H","30/08/93","1993-1994"
"17","2","A","31/08/93","1993-1994"
"20","28","D","31/08/93","1993-1994"
"47","37","H","31/08/93","1993-1994"
"5","1","D","01/09/93","1993-1994"
"14","23","H","01/09/93","1993-1994"
"25","45","H","01/09/93","1993-1994"
"33","35","H","01/09/93","1993-1994"
"36","29","D","01/09/93","1993-1994"
"41","24","A","01/09/93","1993-1994"
"42","13","D","01/09/93","1993-1994"
"1","20","H","11/09/93","1993-1994"
"2","14","D","11/09/93","1993-1994"
"13","25","H","11/09/93","1993-1994"
"24","33","H","11/09/93","1993-1994"
"29","47","A","11/09/93","1993-1994"
"31","17","A","11/09/93","1993-1994"
"35","42","D","11/09/93","1993-1994"
"37","21","A","11/09/93","1993-1994"
"45","41","D","11/09/93","1993-1994"
"23","5","A","12/09/93","1993-1994"
"28","36","H","13/09/93","1993-1994"
"5","45","A","18/09/93","1993-1994"
"14","13","D","18/09/93","1993-1994"
"17","23","H","18/09/93","1993-1994"
"20","2","A","18/09/93","1993-1994"
"21","35","H","18/09/93","1993-1994"
"33","29","D","18/09/93","1993-1994"
"36","37","H","18/09/93","1993-1994"
"41","28","D","18/09/93","1993-1994"
"42","31","H","18/09/93","1993-1994"
"25","1","H","19/09/93","1993-1994"
"47","24","H","20/09/93","1993-1994"
"1","37","H","25/09/93","1993-1994"
"5","36","D","25/09/93","1993-1994"
"13","23","H","25/09/93","1993-1994"
"14","21","A","25/09/93","1993-1994"
